card,en,fr,de,nl,es
cornucopia_harvest,Harvest,Récolte,Ernte,Oogst,Cosecha
cornucopia_youngwitch,Young Witch,Jeune sorcière,Junge Hexe,Jonge heks,Bruja Joven
cornucopia_horsetraders,Horse Traders,Maquignons,Pferdehändler,Paardenhandelaars,Tratantes de Caballos
cornucopia_tournament,Tournament,Tournoi,Turnier,Toernooi,Torneo
cornucopia_hamlet,Hamlet,Hameau,Weiler,Gehucht,Caserío
cornucopia_jester,Jester,Bouffon,Harlekin,Nar,Bufón
cornucopia_fortuneteller,Fortune Teller,Diseuse de bonne aventure,Wahrsagerin,Waarzegster,Adivinadora
cornucopia_fairgrounds,Fairgrounds,Champ de foire,Festplatz,Kermisterrein,Recinto Ferial
cornucopia_hornofplenty,Horn of Plenty,Corne d'abondance,Füllhorn,Hoorn des overvloeds,Cornucopia
cornucopia_huntingparty,Hunting Party,Chasseurs,Treibjagd,Jachtgezelschap,Cacería
cornucopia_menagerie,Menagerie,Ménagerie,Menagerie,Menagerie,Colección de Animales
cornucopia_farmingvillage,Farming Village,Village agricole,Bauerndorf,Boerendorp,Poblado Agrícola
cornucopia_remake,Remake,Renouvellement,Nachbau,Nieuwe versie,Reconstrucción
cornucopia_bagofgold,Bag of Gold,Sac d'Or,,,
cornucopia_diadem,Diadem,Diadème,,,
cornucopia_followers,Followers,Partisans,,,
cornucopia_princess,Princess,Princesse,,,
cornucopia_trustysteed,Trusty Steed,Fidèle Destrier,,,
