card,en,fr,de,nl,es
empires_engineer,Engineer,Ingénieur,Ingenieurin,Ingenieur,Ingeniero
empires_cityquarter,City Quarter,Faubourg,Stadtviertel,Stadswijk,Suburbios
empires_overlord,Overlord,Seigneur,Lehnsherr,Despoot,Déspota
empires_royalblacksmith,Royal Blacksmith,Forgeron royal,Königlicher Schmied,Koninklijke smid,Herrero Real
empires_encampmentplunder,Encampment / Plunder,Camp / Saccage,Feldlager / Diebesgut,Kampement / Plunderen,Campamento / Saqueo
empires_patricianemporium,Patrician / Emporium,Patricien / Emporium,Patrizier / Handelsplatz,Patriciër / Emporium,Patricio / Emporio
empires_settlersbustlingvillage,Settlers / Bustling Village,Colons / Village en effervescence,Siedler / Emsiges Dorf,Kolonisten / Levendig dorp,Colonos / Aldea Bulliciosa
empires_castles,Castles,Châteaux,Schlösser,Kastelen,Castillos
empires_catapultrocks,Catapult / Rocks,Catapulte / Rocher,Katapult / Felsen,Katapult / Rotsblokken,Catapulta / Rocas
empires_chariotrace,Chariot Race,Course de chars,Wagenrennen,Strijdwagenrace,Carrera de Cuádrigas
empires_enchantress,Enchantress,Magicienne,Zauberin,Tovenares,Hechicera
empires_farmersmarket,Farmers Market,Marché agricole,Bauernmarkt,Boerenmarkt,Mercado Agrícola
empires_gladiatorfortune,Gladiator / Fortune,Gladiateur / Fortune,Gladiator / Reichtum,Gladiator / Fortuin,Gladiador / Fortuna
empires_sacrifice,Sacrifice,Sacrifice,Opfer,Offer,Sacrificio
empires_temple,Temple,Temple,Tempel,Tempel,Templo
empires_villa,Villa,Villa,Villa,Villa,Villa
empires_archive,Archive,Archives,Archiv,Archief,Archivo
empires_capital,Capital,Capital,Vermögen,Kapitaal,Capital
empires_charm,Charm,Sort,Zauber,Geluksbrenger,Fetiche
empires_crown,Crown,Couronne,Krone,Kroon,Corona
empires_forum,Forum,Forum,Forum,Forum,Foro
empires_groundskeeper,Groundskeeper,Jardinière,Gärtnerin,Kasteelhovenier,Jardinero
empires_legionary,Legionary,Légionnaire,Legionär,Legioensoldaat,Legionario
empires_wildhunt,Wild Hunt,Chasse fantastique,Wilde Jagd,Wilde jacht,Cacería Salvaje
empires_event_triumph,Triumph,Triomphe,Siegeszug,Triomf,Triunfo
empires_event_annex,Annex,Annexion,Schlacht,Overname,Anexión
empires_event_donate,Donate,Donation,Spende,Donatie,Donación
empires_event_advance,Advance,Adoubement,Aufstieg,Promotie,Promoción
empires_event_delve,Delve,Trouée,Erforschen,Delven,Excavación
empires_event_tax,Tax,Taxe,Steuer,Belasting,Impuesto
empires_event_banquet,Banquet,Banquet,Bankett,Banket,Banquete
empires_event_ritual,Ritual,Rituel,Ritual,Ritueel,Ritual
empires_event_salttheearth,Salt the Earth,Épandage de sel,Versalztes Land,Zout der aarde,Salar la Tierra
empires_event_wedding,Wedding,Mariage,Hochzeit,Bruiloft,Boda
empires_event_windfall,Windfall,Manne,Glüksfall,Meevaller,Golpe de Suerte
empires_event_conquest,Conquest,Conquête,Eroberung,Verovering,Conquista
empires_event_dominate,Dominate,Domination,Beherrschen,Overheersing,Dominación
