card,en,fr,de,nl,es
guilds_advisor,Advisor,Conseiller,Berater,Adviseur,Asesor
guilds_baker,Baker,Boulanger,Bäcker,Bakker,Panadero
guilds_butcher,Butcher,Boucher,Metzger,Slager,Carnicero
guilds_candlestickmaker,Candlestick Maker,Cirier,Leuchtenmacher,Kandelaarmaker,Fabricante de Velas
guilds_doctor,Doctor,Médecin,Arzt,Arts,Doctor
guilds_herald,Herald,Héraut,Herold,Heraut,Heraldo
guilds_journeyman,Journeyman,Compagnon,Wandergeselle,Gezel,Oficial
guilds_masterpiece,Masterpiece,Chef-d'œuvre,Meisterstück,Meesterwerk,Obra Maestra
guilds_merchantguild,Merchant Guild,Guilde des marchands,Kaufmannsgilde,Koopmansgilde,Gremio Mercantil
guilds_plaza,Plaza,Place du village,Platz,Plaza,Plaza
guilds_soothsayer,Soothsayer,Devin,Hellseherin,Helderziende,Vidente
guilds_stonemason,Stonemason,Tailleur de pierre,Steinmetz,Steenhouwer,Cantero
guilds_taxman,Taxman,Percepteur,Steuereintreiber,Belastinginner,Recaudador
