card,en,fr,de,nl,es
intrigue2_nobles,Nobles,Nobles,Adelige,Adel,Nobles
intrigue2_conspirator,Conspirator,Conspirateur,Verschwörer,Samenzweerder,Conspirador
intrigue2_miningvillage,Mining Village,Village minier,Bergwerk,Mijndorp,Aldea Minera
intrigue2_pawn,Pawn,Pion,Handlanger,Pion,Peón
intrigue2_courtyard,Courtyard,Cour,Burghof,Binnenplaats,Patio
intrigue2_tradingpost,Trading Post,Comptoir,Handelsposten,Handelspost,Puesto Comercial
intrigue2_duke,Duke,Duc,Herzog,Hertog,Duque
intrigue2_baron,Baron,Baron,Baron,Baron,Barón
intrigue2_swindler,Swindler,Escroc,Trickser,Oplichter,Embaucador
intrigue2_bridge,Bridge,Pont,Brücke,Brug,Puente
intrigue2_torturer,Torturer,Bourreau,Kerkermeister,Folteraar,Torturador
intrigue2_wishingwell,Wishing Well,Puits aux souhaits,Wunschbrunnen,Wensput,Pozo de los Deseos
intrigue2_masquerade,Masquerade,Mascarade,Maskerade,Maskerade,Mascarada
intrigue2_ironworks,Ironworks,Fonderie,Eisenhütte,IJzergieterij,Fundición
intrigue2_steward,Steward,Intendant,Verwalter,Lakei,Mayordomo
intrigue2_harem,Harem,Harem,Harem,Harem,Harén
intrigue2_minion,Minion,Larbin,Lakai,Dienaar,Esbirro
intrigue2_upgrade,Upgrade,Mise à niveau,Anbau,Opwaardering,Mejora
intrigue2_shantytown,Shanty Town,Taudis,Armenviertel,Sloppenwijk,Chabolas
intrigue2_lurker,Lurker,Rôdeur,Herumtreiberin,Voyeur,Acechador
intrigue2_diplomat,Diplomat,Diplomate,Diplomatin,Diplomaat,Diplomática
intrigue2_mill,Mill,Moulin,Mühle,Molen,Molino
intrigue2_secretpassage,Secret Passage,Passage secret,Geheimgang,Geheime Doorgang,Pasadizo Secreto
intrigue2_patrol,Patrol,Patrouille,Patrouille,Patrouille,Patrulla
intrigue2_courtier,Courtier,Courtisan,Höflinge,Makelaar,Cortesano
intrigue2_replace,Replace,Remplacement,Austausch,Vervanging,Reemplazar
intrigue_nobles,Nobles,Nobles,Adelige,Adel,Nobles
intrigue_conspirator,Conspirator,Conspirateur,Verschwörer,Samenzweerder,Conspirador
intrigue_miningvillage,Mining Village,Village minier,Bergwerk,Mijndorp,Aldea Minera
intrigue_secretchamber,Secret Chamber,Chambre secrète,Geheimkammer,Geheime Kamer,Cámara Secreta
intrigue_coppersmith,Coppersmith,Chaudronnier,Kupferschmied,Kopersmid,Artesano del Cobre
intrigue_pawn,Pawn,Pion,Handlanger,Pion,Peón
intrigue_courtyard,Courtyard,Cour,Burghof,Binnenplaats,Patio
intrigue_tradingpost,Trading Post,Comptoir,Handelsposten,Handelspost,Puesto Comercial
intrigue_scout,Scout,Éclaireur,Späher,Verkenner,Explorador
intrigue_duke,Duke,Duc,Herzog,Hertog,Duque
intrigue_baron,Baron,Baron,Baron,Baron,Barón
intrigue_swindler,Swindler,Escroc,Trickser,Oplichter,Embaucador
intrigue_bridge,Bridge,Pont,Brücke,Brug,Puente
intrigue_torturer,Torturer,Bourreau,Kerkermeister,Folteraar,Torturador
intrigue_wishingwell,Wishing Well,Puits aux souhaits,Wunschbrunnen,Wensput,Pozo de los Deseos
intrigue_masquerade,Masquerade,Mascarade,Maskerade,Maskerade,Mascarada
intrigue_ironworks,Ironworks,Fonderie,Eisenhütte,IJzergieterij,Fundición
intrigue_steward,Steward,Intendant,Verwalter,Lakei,Mayordomo
intrigue_harem,Harem,Harem,Harem,Harem,Harén
intrigue_minion,Minion,Larbin,Lakai,Dienaar,Esbirro
intrigue_saboteur,Saboteur,Saboteur,Saboteur,Saboteur,Saboteador
intrigue_upgrade,Upgrade,Mise à niveau,Anbau,Opwaardering,Mejora
intrigue_tribute,Tribute,Hommage,Tribut,Tolheffing,Tributo
intrigue_greathall,Great Hall,Grand hall,Grosse Halle,Grote Zaal,Gran Sala
intrigue_shantytown,Shanty Town,Taudis,Armenviertel,Sloppenwijk,Chabolas
