sep=	
card	en	fr	de	nl	es
nocturne_druid	Druid	Druide	Druidin	Druïde	Druida
nocturne_faithfulhound	Faithful Hound	Chien fidèle	Getreuer Hund	Trouwe hond	Perro Leal
nocturne_guardian	Guardian	Gardienne	Wächterin	Beschermer	Guardián
nocturne_monastery	Monastery	Monastère	Kloster	Klooster	Monasterio
nocturne_pixie	Pixie	Pixie	Fee	Elfje	Hada
nocturne_tracker	Tracker	Traqueur	Fährtensucher	Spoorzoeker	Rastreador
nocturne_changeling	Changeling	Changelin	Wechselbalg	Wisselkind	Intercambio
nocturne_fool	Fool	Benêt	Narr	Dwaas	Necio
nocturne_ghosttown	Ghost Town	Ville fantôme	Geisterstadt	Spookstad	Pueblo Fantasma
nocturne_leprechaun	Leprechaun	Leprechaun	Kobold	Leprechaun	Duende
nocturne_nightwatchman	Night Watchman	Veilleur de nuit	Nachtwache	Nachtwaker	Vigilante
nocturne_secretcave	Secret Cave	Grotte secrète	Geheime Höhle	Geheime grot	Cueva Secreta
nocturne_bard	Bard	Barde	Minnesängerin	Bard	Bardo
nocturne_blessedvillage	Blessed Village	Village béni	Seliges Dorf	Gezegend dorp	Aldea Bendita
nocturne_cemetery	Cemetery	Cimetière	Friedhof	Kerkhof	Cementerio
nocturne_conclave	Conclave	Conclave	Konklave	Conclaaf	Cónclave
nocturne_devilsworkshop	Devil's Workshop	Atelier du diable	Teufelswerkstatt	Atelier van de duivel	Taller del Diablo
nocturne_exorcist	Exorcist	Exorciste	Exorzistin	Exorcist	Exorcista
nocturne_necromancer	Necromancer	Nécromancien	Totenbeschwörer	Dodenbezweerder	Nigromante
nocturne_shepherd	Shepherd	Berger	Schäferin	Schaapsherder	Pastor
nocturne_skulk	Skulk	Malandrin	Attentäter	Skulk	Ladrón Sigiloso
nocturne_cobbler	Cobbler	Cordonnier	Schuster	Schoenmaker	Zapatero
nocturne_crypt	Crypt	Crypte	Krypta	Crypte	Cripta
nocturne_cursedvillage	Cursed Village	Village maudit	Verfluchtes Dorf	Vervloekt dorp	Aldea Maldita
nocturne_denofsin	Den of Sin	Antre du péché	Sündenpfuhl	Huis der zonden	Casa del Pecado
nocturne_idol	Idol	Idole	Götze	Idool	Ídolo
nocturne_pooka	Pooka	Pooka	Puka	Pooka	Pooka
nocturne_sacredgrove	Sacred Grove	Bois sacré	Heiliger Hain	Heilig kreupelbos	Bosque Sagrado
nocturne_tormentor	Tormentor	Persécuteur	Folterknecht	Kwelgeest	Verdugo
nocturne_tragichero	Tragic Hero	Héros de tragédie	Tragischer Held	Tragische held	Héroe Trágico
nocturne_vampire	Vampire	Vampire	Vampirin	Vampier	Vampiro
nocturne_werewolf	Werewolf	Loup-garou	Werwolf	Weerwolf	Hombre Lobo
nocturne_raider	Raider	Razzia	Plünderer	Plunderaar	Saqueador
