card;en;fr;de;nl;es
prosperity_bank;Bank;Banque;Bank;Bank;Banco
prosperity_city;City;Ville;Stadt;Stad;Ciudad
prosperity_contraband;Contraband;Contrebande;Schmuggelware;Smokkelwaar;Contrabando
prosperity_countinghouse;Counting House;Bureau de comptabilité;Leihhaus;Boekhouding;Casa de Cuentas
prosperity_bishop;Bishop;Évêque;Bischof;Bisschop;Obispo
prosperity_grandmarket;Grand Market;Grand marché;Grosser Markt;Grote markt;Gran Mercado
prosperity_goons;Goons;Fiers-à-bras;Halsabschneider;Domkoppen;Matones
prosperity_watchtower;Watchtower;Mirador;Wachturm;Uitkijktoren;Atalaya
prosperity_expand;Expand;Agrandissement;Ausbau;Uitbreiden;Expansión
prosperity_kingscourt;King's Court;Cour du roi;Königshof;Koningshof;Corte Real
prosperity_hoard;Hoard;Magot;Hort;Spaargeld;Tesoro Escondido
prosperity_peddler;Peddler;Colporteur;Hausierer;Venter;Buhonero
prosperity_monument;Monument;Monument;Denkmal;Monument;Monumento
prosperity_forge;Forge;Forge;Kunstschmiede;Vervalsen;Forja
prosperity_rabble;Rabble;Foule;Gesindel;Gespuis;Chusma
prosperity_talisman;Talisman;Talisman;Talisman;Talisman;Talismán
prosperity_mint;Mint;Hôtel de la monnaie;Münzer;Aanmunten;Acuñador
prosperity_loan;Loan;Prêt;Lohn;Lening;Préstamo
prosperity_traderoute;Trade Route;Route commerciale;Handelsroute;Handelsroute;Ruta Comercial
prosperity_quarry;Quarry;Carrière;Steinbruch;Steengroeve;Cantera
prosperity_royalseal;Royal Seal;Sceau royal;Königliches Siegel;Koninklijk zegel;Sello Real
prosperity_mountebank;Mountebank;Charlatan;Quacksalber;Charlatan;Charlatán
prosperity_workersvillage;Worker's Village;Village ouvrier;Arbeiterdorf;Arbeidersdorp;Pueblo de Trabajadores
prosperity_vault;Vault;Chambre forte;Gewölbe;Schatkelder;Bóveda
prosperity_venture;Venture;Entreprise risquée;Abenteuer;Waagstuk;Especulación
prosperity2_anvil;Anvil;Enclume;Amboss;;
prosperity2_clerk;Clerk;Compatble;Buchhalterin;;
prosperity2_investment;Investment;Placement;Geldanlage;;
prosperity2_tiara;Tiara;Couronne de Mariée;Brautkrone;;
prosperity2_charlatan;Charlatan;Charlatane;Wunderheilerin;;
prosperity2_collection;Collection;Collection;Sammelsurium;;
prosperity2_crystalball;Crystal Ball;Boule de Cristal;Kristallkugel;;
prosperity2_magnate;Magnate;Magnat;Magnatin;;
prosperity2_warchest;War Chest;Trésor de Guerre;Waffenkiste;;
